ID	Pokemon	    HP	Atk	Def	Spe	TypeI	Evolve			
1	Bulbasaur	45	49	49	45	Grass	16			
2	Ivysaur	60	62	63	60	Grass	32			
3	Venusaur	80	82	83	80	Grass	999			
4	Charmander	39	52	43	65	Fire	16			
5	Charmeleon	58	64	58	80	Fire	36			
6	Charizard	78	84	78	100	Fire	999			
7	Squirtle	44	48	65	43	Water	16			
8	Wartortle	59	63	80	58	Water	36			
9	Blastoise	79	83	100	78	Water	999			
10	Pidgey	40	45	40	56	Normal	18			
11	Pidgeotto	63	60	55	71	Normal	36			
12	Pidgeot	83	80	75	91	Normal	999			
13	Rattata	30	56	35	72	Normal	20			
14	Raticate	55	81	60	97	Normal	999			
15	Pikachu	35	55	30	90	Electric	26			
16	Raichu	60	90	55	100	Electric	999			
17	Nidoran(F)	55	47	52	41	Normal	16			
18	Nidorina	70	62	67	56	Normal	32			
19	Nidoqueen	90	82	87	76	Normal	999			
20	Nidoran(M)	46	57	40	50	Normal	16			
21	Nidorino	61	72	57	65	Normal	32			
22	Nidoking	81	92	77	85	Normal	999			
23	Vulpix	38	41	40	65	Fire	26			
24	Ninetales	73	76	75	100	Fire	999			
25	Oddish	45	50	55	30	Grass	22			
26	Gloom	60	65	70	40	Grass	40			
27	Vileplume	75	80	85	50	Grass	999			
28	Growlithe	55	70	45	60	Fire	26			
29	Arcanine	90	110	80	95	Fire	999			
30	Poliwag	40	50	40	90	Water	25			
31	Poliwhirl	65	65	65	90	Water	40			
32	Poliwrath	90	85	95	70	Water	999			
33	Abra	25	20	15	90	Psychic	16			
34	Kadabra	40	35	30	105	Psychic	36			
35	Alakazam	55	50	45	120	Psychic	999			
36	Bellsprout	50	75	35	40	Grass	21			
37	Weepinbell	65	90	50	55	Grass	40			
38	Victreebel	80	105	65	70	Grass	999			
39	Geodude	40	80	100	20	Rock	25			
40	Graveler	55	95	115	35	Rock	40			
41	Golem	80	110	130	45	Rock	999			
42	Magnemite	25	35	70	45	Electric	30			
43	Magneton	50	60	95	70	Electric	999			
44	Onix	35	45	160	70	Rock	999			
45	Drowzee	60	48	45	42	Psychic	26			
46	Hypno	85	73	70	67	Psychic	999			
47	Voltorb	40	30	50	100	Electric	30			
48	Electrode	60	50	70	140	Electric	999			
49	Cubone	50	50	95	35	Rock	28			
50	Marowak	60	80	110	45	Rock	999			
51	Rhyhorn	80	85	95	25	Rock	26			
52	Rhydon	105	130	120	40	Rock	999			
53	Staryu	30	45	55	85	Water	26			
54	Starmie	60	75	85	115	Water	999			
55	Mr.Mime	40	45	65	90	Psychic	999			
56	Electabuzz	65	83	57	105	Electric	999			
57	Magikarp	20	10	55	80	Water	20			
58	Gyarados	95	125	79	81	Water	999			
59	Articuno	90	85	100	85	Water	999			
60	Zapdos	90	90	85	100	Electric	999			
61	Moltres	90	100	90	90	Fire	999			
62	Mewtwo	106	110	90	130	Psychic	999			
63	Mew	100	100	100	100	Psychic	999			
